gen,eval,f,t_engine,J,mdot_A,kB,mdot_B,t1_vel_margin,t2_vel_margin,t1_mass_margin,t2_mass_margin
1,1,70.10000000000002,48.07704265912499,2100.0,11.605040374178786,1.2403858713873168,-0.1399938180989169,-51.30000000000001,-18.80000000000001,31.600000000000023,352.1
1,2,140.0,43.941567618269204,2100.0,14.632569963044183,1.1459329385618577,-0.2557650319368632,-140.0,12.199999999999989,32.89999999999998,336.4
1,3,78.69999999999999,42.610048387320404,2100.0,7.9938548452012945,0.9917815976545643,0.09491811137832304,-26.80000000000001,-51.89999999999998,0.5,369.5
1,4,97.69999999999999,46.63557754082481,2100.0,3.8938768930068677,0.9797114230726647,0.22154603951770555,67.70000000000005,-97.69999999999999,4.7999999999999545,393.6
1,5,177.89999999999998,39.53556754350053,2100.0,6.548847976677708,0.8734554170353588,0.1884171176423809,-111.69999999999999,-66.19999999999999,23.299999999999955,377.1
1,6,48.80000000000001,53.559575085676514,2100.0,9.719472151970969,0.8718997980909715,-0.05657645960142591,155.5,-38.10000000000002,-10.699999999999989,362.1
1,7,92.60000000000002,42.18619378599192,2100.0,5.759177353980363,1.0969640134106908,0.22749793001823215,20.299999999999955,-73.10000000000002,-19.5,380.79999999999995
1,8,84.29999999999995,41.867880094445525,2100.0,7.544404620981103,1.2811152876449057,0.16317141673841032,24.299999999999955,-54.89999999999998,-29.399999999999977,371.20000000000005
1,9,23.900000000000034,45.1901085182931,2100.0,12.173337796944878,0.897388820941711,-0.10776197894681354,7.5,-10.100000000000023,-13.800000000000011,347.70000000000005
1,10,97.40000000000003,46.44829496825136,2100.0,5.183287424614678,1.074608577287986,0.18603302422568888,102.39999999999998,-82.80000000000001,-14.600000000000023,385.70000000000005
2,11,37.799999999999955,46.971054622474774,2100.0,9.914345208783098,0.8932037463183361,-0.030919915423044328,38.700000000000045,-34.39999999999998,-3.3999999999999773,360.29999999999995
2,12,92.0,45.486955474788644,2100.0,12.778225958649625,1.174134329125286,-0.17448907894939567,-86.10000000000002,-5.899999999999977,25.799999999999955,345.5
2,13,37.30000000000001,53.21439422368506,2100.0,9.782701304739877,1.0139942927489969,-0.06666011822165017,133.60000000000002,-37.30000000000001,0.39999999999997726,361.70000000000005
2,14,29.30000000000001,49.39077046724045,2100.0,10.488089283193883,1.0507149569504923,-0.07797276847595312,49.5,-29.30000000000001,4.0,357.6
2,15,24.100000000000023,48.03799972768604,2100.0,10.999307170015458,1.1157807609702448,-0.09755834055386249,0.0,-24.100000000000023,11.700000000000045,354.9
2,16,29.19999999999999,46.022752805460144,2100.0,14.53710320870329,0.872182211055141,-0.19891915998784349,25.700000000000045,13.600000000000023,-29.19999999999999,335.79999999999995
2,17,100.0,41.805004398883426,2100.0,8.319947177690336,0.9539858726848824,0.08699406694964283,-51.39999999999998,-48.60000000000002,4.600000000000023,367.79999999999995
2,18,71.09999999999997,46.77257299775685,2100.0,7.409525140606145,1.1441241858192122,0.08465841377131819,82.70000000000005,-59.89999999999998,-11.199999999999989,373.70000000000005
2,19,181.09999999999997,34.82814254102041,2100.0,12.622247370251412,0.9576944782175252,-0.019121417108948473,-179.7,-1.3999999999999773,0.39999999999997726,343.5
2,20,45.30000000000001,53.11465720633825,2100.0,13.389768640350225,0.8000000047596914,-0.16089398021947074,156.29999999999995,1.8000000000000114,-45.30000000000001,341.6
3,21,81.80000000000001,42.90154017768488,2100.0,12.043442493746268,1.0283516666202928,-0.09965617679869374,-69.60000000000002,-12.199999999999989,4.399999999999977,348.79999999999995
3,22,41.39999999999998,46.05926120886733,2100.0,9.21209129117011,1.0625655292559708,0.0032034214100010866,21.399999999999977,-41.39999999999998,0.39999999999997726,364.0
3,23,40.0,45.46848936589026,2100.0,10.040772951210151,1.0767840506635973,-0.030249339601753224,-6.800000000000011,-33.19999999999999,4.2000000000000455,359.70000000000005
3,24,34.60000000000002,49.83096424278663,2100.0,12.233378277609972,0.8612103463616891,-0.1263144594327079,112.29999999999995,-11.0,-23.600000000000023,348.1
3,25,11.199999999999989,47.74891985687921,2100.0,12.814177847128967,1.014706173583901,-0.164103301018482,-5.699999999999989,-5.5,3.3999999999999773,345.29999999999995
3,26,39.299999999999955,48.96948395709293,2100.0,10.037078930511083,0.8874534118305741,-0.04737794693192586,76.79999999999995,-34.0,-5.2999999999999545,360.0
3,27,98.19999999999999,41.488962038455306,2100.0,11.18159814679598,1.1046859100329969,-0.04673679762462216,-78.80000000000001,-19.399999999999977,3.1000000000000227,352.6
3,28,14.0,53.95008565236127,2100.0,12.605815433466136,0.9548825841111073,-0.165730691183711,95.20000000000005,-7.899999999999977,-6.100000000000023,346.5
3,29,105.30000000000001,41.41987443913469,2100.0,13.911413432817321,1.003570564779013,-0.17397930864471256,-105.30000000000001,7.100000000000023,1.1000000000000227,338.9
3,30,41.19999999999999,48.118541502119434,2100.0,9.27586598816433,1.1530229659499533,-0.018765073839970614,52.0,-41.19999999999999,1.7999999999999545,363.79999999999995
4,31,25.399999999999977,54.849203563428276,2100.0,10.998044568500404,1.0718191023172197,-0.12521795164273503,83.79999999999995,-25.399999999999977,15.200000000000045,355.5
4,32,52.5,45.389947934010785,2100.0,8.097380560687832,0.9737154733468137,0.056676970081924447,18.600000000000023,-52.5,1.6000000000000227,369.79999999999995
4,33,26.69999999999999,47.776216978028756,2100.0,13.448057432008389,1.0327528670800208,-0.19455209594587058,-26.69999999999999,0.30000000000001137,9.399999999999977,342.29999999999995
4,34,40.30000000000001,45.89971558040214,2100.0,14.677678960938838,0.8402155365659343,-0.19637718862803716,53.89999999999998,16.399999999999977,-40.30000000000001,334.6
4,35,14.899999999999977,49.34726078643253,2100.0,11.855430055172839,1.0394544804363621,-0.13448718715611235,28.0,-14.899999999999977,4.100000000000023,350.1
4,36,30.099999999999966,45.224848388506885,2100.0,10.784452238582276,0.9614771302071277,-0.05662302819240983,-2.3999999999999773,-24.69999999999999,-3.0,355.29999999999995
4,37,37.30000000000001,45.842462795782104,2100.0,9.62976864881128,1.091413013781902,-0.014492035521468822,7.800000000000011,-37.30000000000001,2.7000000000000455,361.79999999999995
4,38,28.80000000000001,51.253419153090476,2100.0,11.81487662939825,0.9222779143450599,-0.12502445939453083,110.0,-15.699999999999989,-13.100000000000023,350.6
4,39,17.899999999999977,48.03082088418954,2100.0,11.67928033268781,0.9965931018753447,-0.1153125609090856,25.100000000000023,-16.5,-1.3999999999999773,351.0
4,40,31.300000000000068,51.33651278562671,2100.0,11.056998147971038,0.9566898828109143,-0.1017355002625556,108.20000000000005,-23.100000000000023,-8.200000000000045,354.4
5,41,22.400000000000034,46.48882428855979,2100.0,11.199435828261155,1.022902400296405,-0.08817458407307509,-1.1000000000000227,-21.30000000000001,2.2000000000000455,353.5
5,42,77.30000000000001,46.55162796562423,2100.0,11.905409524682183,1.2010045197827108,-0.14045493858275943,-62.10000000000002,-15.199999999999989,25.700000000000045,350.29999999999995
5,43,22.799999999999955,53.546707026177145,2100.0,12.020850153317651,0.9372328539062695,-0.14132576055849344,116.10000000000002,-14.0,-8.799999999999955,349.70000000000005
5,44,24.0,48.290028458377215,2100.0,10.966787514072594,1.0980256498238936,-0.09613815705774528,12.100000000000023,-24.0,8.399999999999977,354.9
5,45,49.89999999999998,45.49057197181058,2100.0,8.735796236198542,1.1789011095529793,0.034299159835547065,27.299999999999955,-46.10000000000002,-3.7999999999999545,366.4
5,46,12.5,53.41896969524791,2100.0,12.228889704534568,1.0196776120428326,-0.16133873353059117,76.89999999999998,-12.5,6.399999999999977,348.9
5,47,21.600000000000023,47.18624221516262,2100.0,11.425460099022157,1.036370126970522,-0.103913920549632,-2.0,-19.600000000000023,5.2999999999999545,352.6
5,48,33.89999999999998,55.03565763526373,2100.0,10.248730572549835,1.1031880417529543,-0.09946470903482714,94.29999999999995,-33.89999999999998,18.5,359.9
5,49,9.800000000000011,52.91864292699795,2100.0,12.463678067198794,1.0943347031787558,-0.18136972621033767,29.700000000000045,-9.800000000000011,20.0,347.5
5,50,28.499999999999943,49.93938152478567,2100.0,11.361216327476487,0.9502088021517257,-0.10658445604560068,82.0,-19.69999999999999,-8.799999999999955,352.6
6,51,31.19999999999999,51.38276921454762,2100.0,10.387213057051424,1.173296516971103,-0.09441140932850554,43.60000000000002,-31.19999999999999,17.799999999999955,358.6
6,52,72.89999999999998,51.23070544125692,2100.0,14.411648983256292,1.1240557442063037,-0.2662346964804312,-72.89999999999998,9.100000000000023,39.200000000000045,337.79999999999995
6,53,96.5,45.777332012214906,2100.0,5.659189804740229,1.1062795445228941,0.1778412181113603,96.79999999999995,-76.80000000000001,-19.69999999999999,382.6
6,54,36.39999999999998,53.36101325726306,2100.0,9.854293053461367,1.0620811146281894,-0.07335807795631354,124.5,-36.39999999999998,3.7000000000000455,361.29999999999995
6,55,3.1000000000000227,51.37650599146011,2100.0,13.118285990587264,1.0272349586212475,-0.1918393586948432,31.5,-3.1000000000000227,7.7000000000000455,344.0
6,56,0.6999999999999886,56.136221982422725,2100.0,13.446397926028496,1.04686289773912,-0.21747994996407263,16.19999999999999,-0.6999999999999886,21.899999999999977,342.79999999999995
6,57,16.30000000000001,47.01924389923318,2100.0,11.707933620078318,0.9961414595246343,-0.11084049007030113,5.600000000000023,-16.30000000000001,0.0,350.9
6,58,17.0,50.11006902081308,2100.0,11.721154614394111,1.0068000191995816,-0.12818288845030007,47.200000000000045,-17.0,2.1000000000000227,351.20000000000005
6,59,84.60000000000002,51.49712146026569,2100.0,12.613175439643213,1.2396660993157678,-0.2075890246571343,-74.80000000000001,-9.800000000000011,53.89999999999998,347.4
6,60,0.8999999999999773,49.644364775677545,2100.0,13.266386045048923,1.0464097306172,-0.19624303541352128,1.0,-0.8999999999999773,9.100000000000023,342.9
7,61,11.399999999999977,51.660079028316645,2100.0,12.439217671618296,0.9840637958640607,-0.1586374323783847,70.89999999999998,-10.0,-1.3999999999999773,347.6
7,62,20.19999999999999,55.66917221754727,2100.0,11.540336481282923,1.0407655561676799,-0.14436855254941358,69.60000000000002,-20.19999999999999,16.799999999999955,352.79999999999995
7,63,103.40499999999999,54.0369676083648,2100.0,15.925234382313038,1.104113387040215,-0.3274923451182333,-101.69999999999999,25.700000000000045,46.0,330.20000000000005
7,64,175.3,54.169391679440594,2100.0,15.680964879635477,1.1869711978518358,-0.34135081538489503,-175.3,22.5,77.79999999999995,331.6
7,65,8.399999999999977,51.42498880566434,2100.0,15.414578591964602,0.9748572596699991,-0.26924452444569674,31.799999999999955,22.0,-8.399999999999977,331.9
7,66,39.5,52.49781037772601,2100.0,12.52095242162936,1.1720482156441516,-0.19547256012650974,-29.0,-10.5,40.700000000000045,347.79999999999995
7,67,24.5,50.959911734070104,2100.0,12.0983391444429,0.9372673219580328,-0.13644811768294765,96.39999999999998,-12.600000000000023,-11.899999999999977,349.0
7,68,21.0,49.47050850014179,2100.0,11.264550610802537,1.0217198666668514,-0.10834780531982396,46.60000000000002,-21.0,1.1000000000000227,353.29999999999995
7,69,44.87180000000002,54.48009009677541,2100.0,15.263426059449998,1.0760204852821562,-0.29296318637342056,-44.60000000000002,19.600000000000023,28.100000000000023,333.0
7,70,0.0,53.528430777247756,2100.0,13.471932730116043,1.0124168178070512,-0.20750226704829644,52.39999999999998,0.8999999999999773,4.2000000000000455,342.0
